"","BART_square_error1","BART_square_error2","BART_square_error3","BART_cover1","BART_cover2","BART_cover3","BART_length1","BART_length2","BART_length3","MICE_square_error1","MICE_square_error2","MICE_square_error3","MICE_cover1","MICE_cover2","MICE_cover3","MICE_length1","MICE_length2","MICE_length3","Cox_square_error1","Cox_square_error2","Cox_square_error3","Cox_cover1","Cox_cover2","Cox_cover3","Cox_length1","Cox_length2","Cox_length3"
"1",0.0168785638897742,0.000898659217465009,0.0220901493798132,1,1,1,0.249255384091421,0.734842715388053,0.262349164088866,0.00783689786259669,0.0155023173975916,0.0814796777393201,1,1,0,0.276870439057097,0.550865480863471,0.274056074437082,0.000615229648828633,0.00216450866725553,0.00142826178435818,1,1,1,0.573044342730964,0.852612977256897,0.41273938941922
"2",0.037810746507235,0.0670815685777246,0.0398806229546607,0,1,0,0.237906250932126,0.67103890774008,0.307932759566854,0.0183898077644216,0.0491948424156227,0.0999346026841658,0,1,0,0.244696759440306,0.539489052305475,0.225147897623834,0.00427015436235742,0.00607448962813667,0.00240044134039419,1,1,1,0.563866066612088,0.874786679393886,0.425300673312337
"3",0.0141346492758327,0.00372084966093917,0.0254174712391528,0,1,1,0.17823662334191,0.45600348685851,0.305321674525665,0.00787013508771238,0.0136316295413162,0.0742512348714102,1,1,0,0.241887693379639,0.466513544973715,0.244534370740585,8.87611667351893e-05,0.00285935526467128,0.000142909194940652,1,1,1,0.506484739568954,0.879325694160118,0.493794722477839
"4",0.0269540410520419,0.036010418327072,0.000422442899492279,0,1,1,0.270284307825848,0.560099652391063,0.230082669582537,0.0121497035435366,0.00943734593535635,0.0508804081232563,1,1,0,0.260480355681482,0.440419017194589,0.25462393631001,0.0230961260908686,0.0916392989414369,0.00201770684864318,1,1,1,0.552583499242969,0.796996255580988,0.432853923536832
"5",0.0373884454029498,0.0181566397273972,0.00625644629435955,0,1,1,0.249711121042953,0.610051717513231,0.236156989450089,0.035368124393982,0.00789698117245805,0.102528782840942,0,1,0,0.296120321917345,0.57529498947228,0.250917218425282,0.000161130271529283,0.0101503447790506,0.00743862243464837,1,1,1,0.536486149955488,0.979990138079175,0.475497471393744
"6",0.0360250837180522,0.0272228558460657,0.00674499782640698,0,1,1,0.210649927787935,0.656058115543158,0.239670048342788,0.0228539690784078,0.0219676753677022,0.0830999614428572,0,1,0,0.248264396587185,0.447536844209373,0.272664142285865,0.101562202104917,0.00206346547825452,0.000124734564484008,0,1,1,0.495950019780279,0.913252193816177,0.414775661005043
"7",0.00745485152959878,0.00936781649197126,0.00104054758140895,1,1,1,0.262238734604541,0.483052872320917,0.208167483715293,0.000739330256317635,0.00251617094207276,0.068101021621758,1,1,0,0.292406193191214,0.677176725481859,0.315754738985421,0.0287130340485225,0.00122951347313581,0.0217857524850397,1,1,1,0.462339703775947,0.846037935814003,0.473252813408053
"8",0.0615842913063258,0.00229222520903445,0.043158381200675,0,1,0,0.182509390547665,0.655651131132069,0.171335527632876,0.044299885085463,0.0149287872151177,0.106955348537216,0,1,0,0.257725819290143,0.482905825127027,0.263229258158084,0.0474076457627926,0.0107168700893587,0.000969385014546652,1,1,1,0.473762403060934,0.83928902651354,0.383377189503759
"9",0.00503757831250201,0.0260944673399607,0.0231406085009654,1,1,1,0.164761123381754,0.586315404907484,0.34423554705552,0.00019005010609707,0.025205099423796,0.0524848709291351,1,1,0,0.33589338157645,0.575443981278086,0.367270637332731,0.0134875756029817,0.0485794556192828,0.00104784327113954,1,1,1,0.47951655810977,0.756730590931184,0.406994640826785
"10",0.00931063964145805,0.00605726236136825,0.0242367423810512,1,1,1,0.235986421053437,0.610115227367564,0.281370488533929,0.00064987796522754,0.0205520806227955,0.0779345974435651,1,1,0,0.277249888865013,0.625762215523539,0.240459857143282,0.00443513603665582,0.00317718932040826,7.24217015831287e-05,1,1,1,0.618918048777968,0.900825639919793,0.462622233146269
