"","BART_square_error1","BART_square_error2","BART_square_error3","BART_cover1","BART_cover2","BART_cover3","BART_length1","BART_length2","BART_length3","MICE_square_error1","MICE_square_error2","MICE_square_error3","MICE_cover1","MICE_cover2","MICE_cover3","MICE_length1","MICE_length2","MICE_length3","Cox_square_error1","Cox_square_error2","Cox_square_error3","Cox_cover1","Cox_cover2","Cox_cover3","Cox_length1","Cox_length2","Cox_length3"
"126",0.0369707715058659,0.0458859236956498,0.000562992430750227,0,0,1,0.249350024828055,0.418173651538551,0.171690885986986,0.0148324039405837,0.0508077830546178,0.0896051048048935,1,1,0,0.300804719494783,0.481911328974563,0.238359214261034,0.011291334791529,0.103888590172068,0.00608470633720207,1,1,1,0.634401891657474,0.930240881998775,0.506050030389052
"127",0.0404711384537812,0.0079202629541469,0.0120829748404939,0,1,0,0.256943021546381,0.555334680800839,0.211118127963444,0.0309319017391918,0.0206819978338445,0.11285246639076,0,1,0,0.266591173044325,0.533651213665463,0.223387866190774,0.0488505031694349,0.0023106627590416,0.0015255838944058,1,1,1,0.567376774285179,0.852034600116725,0.533574759716447
"128",0.0354326859610114,0.0224945460059211,0.0175900763090337,0,1,1,0.166523099324909,0.593119621935463,0.225021297795353,0.00819172517605398,0.000881697578333427,0.100835021859887,1,1,0,0.295153528731078,0.461497963245727,0.313446946466391,0.00675996313767256,0.00014625389117719,7.45546037821914e-06,1,1,1,0.59255054513059,1.03173431888181,0.50126047701137
"129",0.0252061989081262,0.018034274157286,0.000109856317722908,0,1,1,0.217017784714318,0.736776705665142,0.506118672373656,0.0129782107292476,0.00122232923703991,0.0803633389662828,1,1,0,0.280552870230432,0.733222392743785,0.321375005159753,0.0340365085704089,0.222738281861842,0.0172539512976559,1,1,1,0.709374407686772,1.0130511354199,0.541598436306846
"130",0.00512680080107649,0.0199386495882737,0.00571117175031891,1,1,1,0.179304888421462,0.671853171491448,0.313864620160444,0.000125472241418182,0.0356793458682192,0.0942765539402026,1,1,0,0.253234942238185,0.579970311340958,0.318463175633218,0.0215250145023483,0.000205332174817747,0.037925469609892,1,1,1,0.634540583227584,0.980567878751813,0.509651866677857
"131",0.0304088962041384,0.00503383907364878,0.00222646539212583,0,1,1,0.282478355224423,0.517988043228636,0.289374175494059,0.0300066722017709,0.0619636637047357,0.119796429819092,1,1,0,0.364545445352503,0.624834003893122,0.384550051469267,0.00682550246075662,0.0314889196514142,0.000132503978440991,1,1,1,0.634964005497827,0.947121851707169,0.492465927566309
"132",0.0290720442091256,0.00118877043962032,0.00405477145047108,0,1,1,0.227101965568553,0.410282740446,0.229735051553743,0.0178036991646283,0.0227945041390948,0.0967395494052554,0,1,0,0.254320608365093,0.554492972767541,0.249253185202419,0.0144737263780682,0.0138176120131333,0.01042093904732,1,1,1,0.582677466478275,0.864767928842313,0.425550774019223
"133",0.0213506829094503,0.000195851039382843,0.00222845721314057,0,1,1,0.143054526365878,0.555159675763133,0.296989060821739,0.00431568896507218,0.0187191334204913,0.0651018572325797,1,1,0,0.263290697884372,0.6660574465885,0.209221480654465,0.00497201945644769,0.186610571976469,0.00332427692628844,1,0,1,0.525079514146637,0.84298263157547,0.45523901913133
"134",0.0588270300670904,0.00071349629515114,0.00436795047082979,0,1,1,0.220758554077461,0.500430224928355,0.232788852697682,0.023942054238717,0.0532057976738721,0.0755642622742584,0,1,0,0.274367162070887,0.506730491425367,0.265604130721666,0.02987210176829,0.129341821157412,0.00869163297388361,1,1,1,0.658349824343685,0.979176340467683,0.50328544186036
"135",0.0223289080948465,0.000780206728900008,0.000103264800409645,0,1,1,0.199826731709603,0.589743634365231,0.272184969555581,0.00162230088542678,0.0130063699543313,0.0647246718201442,1,1,0,0.282901147312447,0.628785354219314,0.191171650771088,0.0576041792859412,0.0113749619089743,0.0421800370138221,1,1,1,0.553451535953406,0.898145953184674,0.476583893009574
"136",0.0182823051426649,0.000880005961315763,0.018973192383539,0,1,0,0.223569457765702,0.63312339314067,0.192168795199807,0.00569796786100821,0.0155439862263521,0.0917592600412393,1,1,0,0.34779115759893,0.785694119248572,0.314075204144136,0.00822209277733183,0.0777453671403141,0.00178670749996242,1,1,1,0.483001844448662,0.928232943919508,0.432400024732934
"137",0.00314065032510083,0.00251890179824304,0.00436205865091199,1,1,1,0.193365270626731,0.608307686907925,0.169402190657681,2.75035452291948e-05,0.0324587155962826,0.0956381577316277,1,1,0,0.26101000845833,0.560012300003458,0.211589177180667,0.0028631036062145,0.0019424550859909,0.00158960919962291,1,1,1,0.546270965225842,0.939582154385787,0.46940971118013
"138",0.00203195996795925,1.01129560193925e-05,0.00242781553482693,1,1,1,0.21326951323614,0.394045033978211,0.300241497049886,4.18645349626821e-05,0.0414806534620215,0.051335731183323,1,1,0,0.262998440404098,0.504352255509586,0.253907810617501,0.0110522653725404,2.19264861213156e-07,0.050353319126241,1,1,1,0.648116165040061,0.896530210005648,0.538822874186575
"139",0.00228731393107858,0.0010474131683345,0.0248519972488554,1,1,0,0.202502031870609,0.523248539640835,0.239578999074473,8.84808377997328e-05,0.00689422824442612,0.0636902822311379,1,1,0,0.281097131060954,0.549740205469176,0.300104093931518,5.32799537672309e-05,3.01248542933171e-06,0.00179775852227485,1,1,1,0.566804694679953,0.945042084838264,0.462354719132072
"140",0.0250119746945274,0.0344554766694653,0.00319068026902473,0,1,1,0.257910687514131,0.595442603302623,0.352283324084304,0.00679242908748674,0.000868030283533166,0.0826158056992924,1,1,0,0.236871771052168,0.561347532469138,0.246144549558334,0.00883916555658587,0.00909822979524226,0.0333916981658701,1,1,1,0.471464629048238,0.982782580695685,0.486314161627612
"141",0.00662189576566667,0.0286201976743877,0.035439472557888,1,1,0,0.226432492954816,0.750990741578177,0.250664945173392,0.00279648525074523,0.0446965972142115,0.11029384868418,1,1,0,0.256004736558062,0.59330392007532,0.246697148205903,0.0166629898239832,0.0933522777776086,0.064267054484179,1,1,0,0.598482105569805,0.9988866466386,0.491468000866382
"142",0.0273408979089697,0.0487779238540624,0.000326264913759805,0,1,1,0.284030203070719,0.777482390672885,0.267359878760199,0.00428382346882301,0.0663940966598056,0.104803161034578,1,0,0,0.261519420904038,0.511500727231883,0.214821490155542,0.0172985597853272,0.309594398209032,0.00241993985763597,1,0,1,0.622715949320578,0.865883820358963,0.427117410176852
